ranking,name,score,link
179,Tensei shitara Slime Datta Ken 2nd Season,8.39,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
180,Tian Guan Ci Fu,8.39,https://myanimelist.net/anime/40730/Tian_Guan_Ci_Fu
181,3-gatsu no Lion,8.39,https://myanimelist.net/anime/31646/3-gatsu_no_Lion
182,Chihayafuru 2,8.39,https://myanimelist.net/anime/14397/Chihayafuru_2
183,Cross Game,8.39,https://myanimelist.net/anime/5941/Cross_Game
184,Kamisama Hajimemashita: Kako-hen,8.39,https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen
185,Kaze ga Tsuyoku Fuiteiru,8.39,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
186,Barakamon,8.38,https://myanimelist.net/anime/22789/Barakamon
187,Cowboy Bebop: Tengoku no Tobira,8.38,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
188,Kimetsu no Yaiba: Mugen Ressha-hen,8.38,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen
189,Non Non Biyori Nonstop,8.38,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
190,Kizumonogatari I: Tekketsu-hen,8.37,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen
191,Made in Abyss Movie 2: Hourou Suru Tasogare,8.37,https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare
192,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari
193,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
194,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.37,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan
195,Baccano!,8.37,https://myanimelist.net/anime/2251/Baccano
196,Fumetsu no Anata e,8.37,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
197,Haikyuu!! To the Top,8.36,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top
198,Kage no Jitsuryokusha ni Naritakute!,8.36,https://myanimelist.net/anime/48316/Kage_no_Jitsuryokusha_ni_Naritakute
199,Kaze no Tani no Nausicaä,8.36,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä
200,Mahou Shoujo Madoka★Magica,8.36,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
201,Usagi Drop,8.36,https://myanimelist.net/anime/10162/Usagi_Drop
202,Yoru ni Kakeru,8.36,https://myanimelist.net/anime/48653/Yoru_ni_Kakeru
203,Bakuman. 2nd Season,8.35,https://myanimelist.net/anime/10030/Bakuman_2nd_Season
204,Boku no Hero Academia 6th Season,8.35,https://myanimelist.net/anime/49918/Boku_no_Hero_Academia_6th_Season
205,Gintama: Shiroyasha Koutan,8.35,https://myanimelist.net/anime/6945/Gintama__Shiroyasha_Koutan
206,Hellsing Ultimate,8.35,https://myanimelist.net/anime/777/Hellsing_Ultimate
207,K-On! Movie,8.35,https://myanimelist.net/anime/9617/K-On_Movie
208,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.35,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season
209,Kiseijuu: Sei no Kakuritsu,8.34,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
210,Neon Genesis Evangelion,8.34,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion
211,Psycho-Pass,8.34,https://myanimelist.net/anime/13601/Psycho-Pass
212,Spy x Family Part 2,8.34,https://myanimelist.net/anime/50602/Spy_x_Family_Part_2
213,Major S6,8.33,https://myanimelist.net/anime/7655/Major_S6
214,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33,https://myanimelist.net/anime/20651/Natsume_Yuujinchou__Itsuka_Yuki_no_Hi_ni
215,One Outs,8.33,https://myanimelist.net/anime/5040/One_Outs
216,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.33,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2
217,Uchuu Senkan Yamato 2199,8.33,https://myanimelist.net/anime/12029/Uchuu_Senkan_Yamato_2199
218,Versailles no Bara,8.33,https://myanimelist.net/anime/338/Versailles_no_Bara
219,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.33,https://myanimelist.net/anime/37095/Violet_Evergarden__Kitto_Ai_wo_Shiru_Hi_ga_Kuru_no_Darou
220,Bakemonogatari,8.33,https://myanimelist.net/anime/5081/Bakemonogatari
221,Dr. Stone: Ryuusui,8.33,https://myanimelist.net/anime/50612/Dr_Stone__Ryuusui
222,Given,8.33,https://myanimelist.net/anime/39533/Given
223,Gotcha!,8.33,https://myanimelist.net/anime/42984/Gotcha
224,Initial D First Stage,8.33,https://myanimelist.net/anime/185/Initial_D_First_Stage
225,Kidou Senshi Gundam: The Origin,8.33,https://myanimelist.net/anime/10937/Kidou_Senshi_Gundam__The_Origin
226,Kingdom 2nd Season,8.33,https://myanimelist.net/anime/17389/Kingdom_2nd_Season
227,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season
228,Katanagatari,8.32,https://myanimelist.net/anime/6594/Katanagatari
229,Kawaki wo Ameku,8.32,https://myanimelist.net/anime/39112/Kawaki_wo_Ameku
